2022-05-31_09-17-39 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2022-05-31_09-17-39 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2022-05-31_09-17-39 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-05-31_09-17-39 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2022-05-31_09-17-39 [restartedMain] INFO  c.c.p.ProcessPensionServiceApplication - Started ProcessPensionServiceApplication in 31.175 seconds (JVM running for 36.644)
2022-05-31_09-17-39 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-05-31_09-17-39 [http-nio-8082-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-31_09-17-39 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-05-31_09-17-39 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-05-31_09-17-39 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-05-31_09-17-39 [http-nio-8082-exec-8] INFO  c.c.p.c.ProcessPensionController - START - getPensionDetails()
2022-05-31_09-17-39 [http-nio-8082-exec-8] INFO  c.c.p.c.ProcessPensionController - END - getPensionDetails()
2022-05-31_09-17-39 [http-nio-8082-exec-8] INFO  c.c.p.s.ProcessPensionServiceImpl - Details found by details microservice
2022-05-31_09-17-39 [http-nio-8082-exec-10] INFO  c.c.p.c.ProcessPensionController - START - processPension()
2022-05-31_09-17-39 [http-nio-8082-exec-10] INFO  c.c.p.c.ProcessPensionController - END - processPension()
2022-05-31_09-17-39 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-05-31_09-17-39 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-05-31_09-17-39 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
